"","enj_swip","gender","orientation","rel_status","da_usage","y_single","rec_friend","met_online","dates","pay","picky","body_types","rate_yourself","snap_easy","snap_time","snap_dating","insta_easy","insta_time","insta_dating","tik_easy","tik_time","tik_dating","tin_easy","tin_time","tin_dating","hin_easy","hin_time","hin_dating","bum_easy","bum_time","bum_dating","con_level"
"109","Yes","Female","straight","InRelation","User",NA,"Yes","Online","Male","Male","Women","Ectomorph",7,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,"high"
"110","No","Female","bi","InRelation","NonUser",NA,"No","Offline","Female","Split","Equal","Endomorph",8,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,"high"
"111","No","Male","straight","InRelation","NonUser",NA,"Yes","Offline","Male","Male","Equal","Triangle",10,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,"high"
"112","No","Male","straight","Single","NonUser","cant_find","No",NA,"Male","Male","Women","Hour Glass",7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"113","No","Female","bi","InRelation","NonUser",NA,"No","Offline","Equal","Male","Equal","Triangle",3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"low"
"114","No","Female","gay_lesbian","Single","NonUser","doesnt_want","No",NA,"Equal","Split","Women","Hour Glass",7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"115","Yes","Male","bi","InRelation","User",NA,"Yes","Online","Female","Split","Equal","Oval",10,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,"high"
"116","No","Female","bi","InRelation","NonUser",NA,"No","Offline","Equal","Male","Equal","Hour Glass",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"low"
"117","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Male","Male","Women","Endomorph",6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"118","No","Male","straight","InRelation","User",NA,"Yes","Offline","Female","Male","Women","Hour Glass",7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,"high"
"119","No","Male","straight","Single","NonUser","cant_find","No",NA,"Female","Male","Equal","Hour Glass",5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,"low"
"120","Yes","Male","straight","InRelation","NonUser",NA,"Yes","Offline","Female","Split","Women","Inverted Triangle",9,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"high"
"121","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Women","Ectomorph",6,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"low"
"122","Yes","Male","straight","Single","User","cant_find","Yes",NA,"Female","Split","Men","Hour Glass",7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,"high"
"123","No","Female","bi","Single","NonUser","doesnt_want","No",NA,"Equal","Male","Men","Triangle",6,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,"low"
"124","No","Male","straight","InRelation","NonUser",NA,"No","Online","Female","Male","Women","Mesomorph",8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"high"
"125","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Female","Male","Women","Mesomorph",7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"126","No","Male","straight","InRelation","User",NA,"No","Offline","Female","Split","Equal","Triangle",8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"high"
"127","No","Female","bi","InRelation","NonUser",NA,"Yes","Offline","Female","Male","Equal","Triangle",5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"low"
"128","No","Male","straight","Single","NonUser","cant_find","No",NA,"Equal","Male","Equal","Inverted Triangle",5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"low"
"129","No","Male","straight","InRelation","NonUser",NA,"Yes","Offline","Female","Split","Women","Hour Glass",7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"130","No","Female","straight","InRelation","NonUser",NA,"No","Offline","Equal","Male","Women","Mesomorph",7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
"131","No","Female","gay_lesbian","InRelation","NonUser",NA,"No","Offline","Male","Split","Men","Triangle",4,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,"low"
"132","No","Female","bi","InRelation","NonUser",NA,"Yes","Offline","Female","Split","Equal","Oval",9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"high"
